transaction_id,amount,account_age_days,transactions_last_10m,transactions_last_1h,failed_payments,previous_avg_amount,amount_deviation,is_new_device,is_new_location,distance_from_previous_location,device_transaction_count,ip_transaction_count,payment_method,hour,country,customer_transaction_count,is_fraud
DEMO_SAMPLE_001,1299,420,1,3,0,1250,1.039,0,0,12,2,1,upi,13,IN,48,0
DEMO_SAMPLE_002,38500,240,2,5,0,8200,4.695,0,0,40,3,2,card,19,IN,35,1
DEMO_SAMPLE_003,2400,820,9,18,0,2200,1.091,0,0,20,12,9,upi,20,IN,72,1
DEMO_SAMPLE_004,8900,24,2,4,0,3200,2.781,1,0,80,2,2,card,16,IN,26,1
DEMO_SAMPLE_005,6200,410,4,8,4,5100,1.216,0,0,25,3,3,wallet,11,IN,65,1
DEMO_SAMPLE_006,7200,380,2,4,1,6800,1.059,0,1,1840,3,2,netbanking,3,AE,44,1
DEMO_SAMPLE_007,42850,24,8,16,4,10100,4.243,1,1,2110,15,11,card,2,US,18,1
DEMO_SAMPLE_008,999,730,1,4,0,1100,0.908,0,0,18,1,1,upi,12,IN,83,0
DEMO_SAMPLE_009,4200,190,2,7,0,3900,1.077,0,0,22,2,2,card,18,IN,52,0
DEMO_SAMPLE_010,16000,16,7,15,3,2800,5.714,1,1,1450,13,9,card,1,SG,9,1
DEMO_SAMPLE_011,1800,1200,1,3,0,1850,0.973,0,0,9,2,1,upi,10,IN,121,0
DEMO_SAMPLE_012,5400,300,5,12,1,5000,1.08,0,0,65,4,5,netbanking,21,IN,39,0
